simulation_number,conference,round,team1_id,team2_id,team1_score,team2_score,winner_id
1,SCIAC,Final,Whittier,Pomona-Pitzer,75,59,400
1,SCIAC,Final,Cal Lutheran,Chapman,77,81,67
1,SCIAC,Final,Whittier,Chapman,74,69,400
1,SKY,Quarterfinal,Merchant Marine,Sarah Lawrence,97,40,217
1,SKY,Quarterfinal,Mt. St. Mary,St. Joseph's NY,97,70,238
1,SKY,Quarterfinal,Manhattanville,St. Joseph's LI,90,67,202
1,SKY,Quarterfinal,Farmingdale,Mt. St. Vincent,86,77,116
1,SKY,Quarterfinal,Merchant Marine,Farmingdale,75,68,217
1,SKY,Quarterfinal,Mt. St. Mary,Manhattanville,68,70,202
1,SKY,Quarterfinal,Merchant Marine,Manhattanville,71,62,217
1,SLIAC,Semifinal,Eureka,Spalding,84,54,115
1,SLIAC,Semifinal,Principia,Greenville,71,67,281
1,SLIAC,Semifinal,Eureka,Westminster MO,77,89,395
1,SLIAC,Semifinal,Principia,Webster,73,91,389
1,SLIAC,Semifinal,Westminster MO,Webster,78,92,389
1,SUNYAC,Semifinal,Oswego St.,SUNY Oneonta,59,54,267
1,SUNYAC,Semifinal,SUNY Canton,Plattsburgh St.,61,58,350
1,SUNYAC,Semifinal,Oswego St.,SUNY New Paltz,96,76,267
1,SUNYAC,Semifinal,SUNY Canton,Cortland,62,89,86
1,SUNYAC,Semifinal,Oswego St.,Cortland,60,77,86
1,UEC,Quarterfinal,PSU-Harrisburg,Lancaster Bib,60,51,287
1,UEC,Quarterfinal,Notre Dame MD,Wilson,65,57,256
1,UEC,Quarterfinal,St. Elizabeth,Keystone,72,56,330
1,UEC,Quarterfinal,Bryn Athyn,Cedar Crest,79,31,45
1,UEC,Quarterfinal,PSU-Abington,Notre Dame MD,86,72,282
1,UEC,Quarterfinal,Gallaudet,PSU-Harrisburg,62,52,125
1,UEC,Quarterfinal,St. Mary's MD,St. Elizabeth,64,63,338
1,UEC,Quarterfinal,Bryn Athyn,Penn Col Tech,51,47,45
1,UEC,Quarterfinal,Gallaudet,PSU-Abington,95,85,125
1,UEC,Quarterfinal,St. Mary's MD,Bryn Athyn,54,46,338
1,UEC,Quarterfinal,St. Mary's MD,Gallaudet,68,73,125
1,UMAC,Semifinal,Northwestern MN,Martin Luther,74,56,254
1,UMAC,Semifinal,UW-Superior,Bethany Luth,67,56,410
1,UMAC,Semifinal,Northwestern MN,UW-Superior,81,62,254
1,USAC,Quarterfinal,Brevard,Greensboro,103,31,40
1,USAC,Quarterfinal,NC Wesleyan,Meredith,82,41,247
1,USAC,Quarterfinal,Methodist,Pfeiffer,63,48,220
1,USAC,Quarterfinal,S Virginia,Peace,83,43,313
1,USAC,Quarterfinal,Brevard,S Virginia,77,90,313
1,USAC,Quarterfinal,NC Wesleyan,Methodist,70,87,220
1,USAC,Quarterfinal,S Virginia,Methodist,91,81,313
1,WIAC,Semifinal,UW-La Crosse,UW-Stevens Point,71,67,403
1,WIAC,Semifinal,UW-Whitewater,UW-River Falls,66,52,411
1,WIAC,Semifinal,UW-Oshkosh,UW-La Crosse,69,60,405
1,WIAC,Semifinal,UW-Stout,UW-Whitewater,68,75,411
1,WIAC,Semifinal,UW-Oshkosh,UW-Whitewater,66,62,405
